item_sku_id,attr_cd,attr_value_cd
1,1,1523
1,2,148
1,1,1433
1,1,1528
1,1,1525
1,1,1524
2,60,2436
3,82,1298
4,488,433
4,390,1263
4,584,1263
4,68,1263
5,37,299
5,103,1194
5,22,174
5,277,1553
6,880,4586
6,879,4585
6,878,4583
6,876,4
6,879,4584
6,877,4582
6,881,1447
6,42,20
6,765,1435
7,68,2054
7,390,2062
7,82,1298
7,225,409
7,50,2065
7,488,433
8,82,1298
8,68,2024
8,492,409
8,568,2030
8,488,433
9,513,755
9,225,1263
9,514,352
9,512,1263
9,283,2088
9,82,1298
9,492,2113
9,226,1263
9,68,527
10,436,1485
10,437,138
10,43,339
10,1,2616
11,68,4084
11,68,1166
11,101,914
11,82,2489
11,68,4349
11,371,352
11,68,2058
11,518,1263
11,68,4464
11,225,1825
12,82,1298
12,559,3214
12,225,268
12,540,433
12,554,1263
12,68,621
12,541,3218
12,368,3082
12,543,681
13,492,409
13,390,586
13,550,2051
13,488,433
13,68,3178
13,82,1298
14,82,1298
14,492,2113
14,390,1263
14,368,3082
14,225,268
14,183,1263
14,726,194
14,488,433
14,550,3189
14,346,1504
14,68,2073
15,55,4327
15,55,4328
15,38,4053
15,55,4056
15,55,4055
15,38,2135
15,60,4061
15,60,4046
15,60,4049
15,60,4051
15,38,4331
15,38,4047
15,60,4326
15,60,68
15,38,4052
15,430,4045
15,55,4329
16,38,4053
16,38,4331
16,60,4050
16,38,4052
16,430,4045
16,55,4328
17,530,745
17,82,1298
17,488,433
17,492,541
17,68,2053
18,41,4558
18,868,208
18,868,2759
18,765,1431
18,868,209
18,869,4560
18,39,4559
18,704,4562
19,163,1531
19,22,3892
19,382,2905
19,212,4
19,163,1485
20,492,409
20,101,914
20,82,4092
20,518,1263
20,225,1825
20,68,4085
20,770,1263
21,287,3477
21,277,3478
21,765,1435
21,1,3480
22,368,3082
22,492,409
22,390,586
22,531,1263
22,68,1263
22,225,1263
22,82,1298
22,488,433
22,526,1263
23,68,3261
23,488,433
23,580,352
23,492,540
23,390,3268
23,225,268
23,82,1298
23,579,3264
24,505,1263
24,368,3082
24,541,1584
24,495,1263
24,217,2605
24,585,3219
24,492,2113
24,68,1189
24,346,987
24,493,1263
24,488,433
25,492,410
25,390,1263
25,82,1298
25,68,3262
25,488,433
25,225,268
26,952,4932
26,765,1435
26,739,2258
26,11,58
26,17,97
27,409,60
27,277,30
27,408,1497
27,18,981
28,50,969
28,37,13
28,103,152
29,492,542
29,283,2088
29,82,1298
29,514,1559
29,488,433
29,68,527
29,513,2081
29,225,1263
30,68,3101
30,82,1298
30,526,1263
30,368,3082
30,488,433
30,531,584
30,492,409
30,225,1263
31,225,1825
31,82,2489
31,101,3246
31,68,1263
32,566,2027
32,488,433
32,492,542
32,82,1298
32,567,3230
33,50,969
33,50,1071
33,103,59
33,50,3596
33,37,236
33,37,3476
34,518,1263
34,101,914
34,225,1825
34,82,1263
34,68,1263
35,277,30
35,409,60
35,18,981
36,55,4056
36,38,2135
36,1,4046
36,38,4776
36,924,12
36,277,300
36,126,4058
36,55,4770
36,38,4052
36,55,4327
36,277,1467
36,38,4777
36,55,4771
36,55,4346
36,38,4331
36,38,4774
36,277,1468
36,1,4326
36,55,4773
36,38,4775
36,55,4772
37,183,3190
37,550,2051
37,82,1298
37,368,3082
37,488,433
38,82,1298
38,225,539
38,60,2102
38,390,4
39,430,4045
39,55,4057
39,60,4046
39,55,4056
39,60,4051
39,60,68
39,38,4052
39,60,4049
39,38,4053
39,60,4061
40,730,644
40,634,3488
40,765,1435
40,163,2525
40,277,494
40,635,3492
40,633,644
40,277,21
40,277,3482
