item_sku_id,item_first_cate_cd,item_second_cate_cd,item_third_cate_cd,brand_code
1,1,5,366,198
2,1,7,298,158
3,7,29,144,1040
4,7,29,145,70
5,1,4,17,707
6,1,3,15,724
7,7,29,145,957
8,7,30,168,411
9,7,29,149,111
10,1,4,80,1049
11,7,30,540,1264
12,7,31,151,367
13,7,29,149,518
14,7,29,149,749
15,1,5,21,285
16,1,5,21,534
17,7,29,144,394
18,1,3,11,39
19,1,4,14,738
20,7,30,539,1143
21,1,4,52,399
22,7,29,144,485
23,7,30,170,958
24,7,31,314,1194
25,7,30,170,783
26,1,3,6,332
27,1,7,32,538
28,1,4,18,648
29,7,29,148,1450
30,7,29,144,1125
31,7,30,166,90
32,7,30,168,400
33,1,4,18,588
34,7,30,166,207
35,1,7,32,158
36,1,5,21,284
37,7,29,149,148
38,7,31,175,874
39,1,5,21,738
40,1,4,13,1069
